epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7896,1.149,4.66287,1.30213,0.20354,0.45586,0.11519,0.07714,0.97578,3.97809,1.131,9.999e-05,9.999e-05,9.999e-05
2,19.2305,0.98342,2.60279,1.19413,0.65066,0.33003,0.29216,0.19513,1.14547,3.08332,1.28087,0.000210393,0.000210393,0.000210393
3,27.1127,0.93534,1.61419,1.17316,0.73587,0.31017,0.31841,0.21698,1.24131,2.35715,1.34287,0.000320064,0.000320064,0.000320064
4,34.7498,0.97655,1.36838,1.18194,0.76289,0.34637,0.4022,0.28142,1.19387,1.80774,1.42807,0.000429,0.000429,0.000429
5,42.207,0.97952,1.28962,1.187,0.56073,0.28773,0.28326,0.18694,1.31182,2.45143,1.54267,0.000537204,0.000537204,0.000537204
6,49.4396,0.97932,1.22174,1.17515,0.26755,0.29541,0.25974,0.16807,1.34083,2.0961,1.73964,0.000644674,0.000644674,0.000644674
7,56.7805,1.02813,1.23757,1.21098,0.54528,0.19794,0.15867,0.08798,1.61723,3.34265,1.90386,0.000751412,0.000751412,0.000751412
8,64.0479,1.01081,1.19581,1.21412,0.58075,0.18158,0.12947,0.06828,1.70986,7.36525,1.93101,0.000857415,0.000857415,0.000857415
9,71.2924,1.04712,1.25523,1.2263,0.52786,0.11201,0.08926,0.05106,2.16333,3.59432,2.12472,0.000962686,0.000962686,0.000962686
10,78.5861,1.07046,1.25748,1.24618,0.33821,0.08262,0.03726,0.02055,2.48957,inf,2.60535,0.00106722,0.00106722,0.00106722
11,85.7188,1.07409,1.20398,1.23954,0.32852,0.08959,0.08165,0.05119,2.27003,3.50645,3.01494,0.00107434,0.00107434,0.00107434
12,92.9547,1.06941,1.17819,1.23827,0.5578,0.25676,0.16378,0.09775,1.79119,4.35346,2.04635,0.00107067,0.00107067,0.00107067
13,100.326,1.06571,1.18299,1.24148,0.2253,0.13518,0.10072,0.0509,2.16548,6.26736,2.27814,0.001067,0.001067,0.001067
